condition,training_seed,stratum,persona_id,persona_index,eval_seed,target,mae,volatility,oscillation,final_difficulty,activations,overrides,attempted_boundary,oracle_agreement,raw_actions,final_actions
PPO-state-shuffle | G,42,grid,normal@0.40,2,1001,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,2002,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,3003,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,4004,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,5005,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,6006,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,7007,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,8008,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,9009,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,10010,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,11011,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,12012,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,13013,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,14014,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
